pred,label1,label1_occurrence,label2,label2_occurrence,label3,label3_occurrence,label1_full,label2_full,label3_full,index,Unnamed: 11
176,gost,86.4,pesso,56.8,comig,27.3,,pessoa,comigo,"Sonhei que a pessoa acabava comigo, quero logo.",
259,ped,100.0,namor,86.8,quer,11.3,pedido,namoro,,Sonhei que ele tinha me pedido em namoro.,
27,tiktok,100.0,viraliz,100.0,vid,66.7,tiktok,viralizado,,Sonhei que meu TikTok tinha viralizado.,
511,trans,100.0,gent,10.3,car,7.7,transava,,,"Sonhei que eu transava, a que ponto, Deus?",
52,jog,100.0,bich,9.5,ganh,9.5,jogando,,,Sonhei que estava jogando de Pyke.,
327,gatinh,100.0,cas,15.8,trist,15.8,gatinho,,,"Sonhei que ganhava um gatinho de aniversário, acordei chorando .",
392,amor,100.0,faz,73.3,mulh,13.3,amor,fazendo,,Sonhei que estava fazendo amor na piscina.,
64,cancel,100.0,send,20.0,achand,10.0,cancelada,sendo,,Sonhei que estava sendo cancelada.,
297,carr,100.0,acident,10.3,compr,10.3,carro,,,Sonhei que me joguei de um carro em movimento.,
192,roub,100.0,celul,13.0,carr,7.2,roubado,,,Sonhei que era roubado .,
136,grav,100.0,aparec,1.1,gent,1.1,gravida,,,Sonhei que estava grávida.,
551,horrivel,100.0,pesadel,22.3,morr,10.6,horrivel,,,"Sonhei que estava grávida, nossa, foi horrível.",
94,namor,100.0,tra,100.0,chor,14.3,namorando,traiu,,Sonhei que estava namorando um feio e ele me traiu.,
29,lend,100.0,livr,100.0,ler,25.0,lendo,livro,,Eu sonhei que estava lendo um livro .,
499,show,100.0,faz,11.2,chor,6.1,show,,,Sonhei que tinha show da Olivia no Brasil.,
136,grav,100.0,aparec,1.1,gent,1.1,gravida,,,Sonhei que ela estava grávida.,
657,cachorr,100.0,quer,20.8,cas,15.3,cachorro,,,Sonhei que meu cachorro tinha fugido. Acordei desesperada.,
30,amig,100.0,cuid,100.0,grav,100.0,amigas,cuidem,gravida,"Sonhei que estava grávida . Se cuidem, amigas.",
51,desesper,100.0,grav,100.0,pens,9.5,desesperada,gravida,,Sonhei que estava grávida e acordei completamente desesperada.,
286,rio,100.0,beir,14.3,dia,14.3,rio,beira,,Sonhei que estava no Beira-Rio.,
553,nov,100.0,grav,12.5,quer,5.8,novo,,,Sonhei que morri de novo.,
251,tatuag,100.0,faz,96.9,quer,18.8,tatuagem,fazia,,"Sonhei que fazia uma tatuagem no pescoço, será que vem?",
487,coloc,100.0,cas,5.6,celul,5.6,colocando,,,Sonhei que estava colocando cílios fio a fio.,
33,fern,100.0,noronh,100.0,amig,25.0,fernando,noronha,,Sonhei que estava em Fernando de Noronha.,
560,toc,100.0,despert,18.1,comec,7.2,tocando,,,Sonhei que eu estava tocando gaita.,
553,nov,100.0,grav,12.5,quer,5.8,novo,,,Sonhei que minha casa inundava de novo.,
380,cabec,100.0,rasp,100.0,sozinh,25.0,cabeca,raspou,,Sonhei que alguém raspou a minha cabeça.,
567,compr,100.0,faz,7.1,ia,6.7,comprando,,,E eu que sonhei que estava comprando um espelho.,
259,ped,100.0,namor,86.8,quer,11.3,pedia,,,Sonhei que ele me pedia desculpas.,
298,aparelh,100.0,tir,75.0,desesper,16.7,aparelho,tirado,,Sonhei que tinha tirado o aparelho dos meus dentes.,
